Jour;Catégorie client;Puissance moyenne journalière (W)
2023-01-12;Puissance moyenne journalière de la production cogénération profilée (W);322315.0
2023-01-15;Puissance moyenne journalière de la consommation télérelevée BT INF 36 Résidentielle (W);313332315.0
2023-01-27;Puissance moyenne journalière de la production totale (W);9938246710.0
2023-01-30;Puissance moyenne journalière de la consommation totale (W);54332602383.0
2023-01-30;Puissance moyenne journalière de la production hydraulique profilée (W);1607738.0
2023-01-31;Puissance moyenne journalière de la consommation télérelevée BT INF 36 Professionelle (W);5433621.0
2023-01-31;Puissance moyenne journalière de la consommation profilée BT INF 36 Professionnelle (W);6009843890.0
2023-03-22;Puissance moyenne journalière de la consommation télérelevée BT INF 36 Résidentielle (W);234380546.0
2023-03-23;Puissance moyenne journalière de la production télérelevée totale (W);14640329587.0
2023-03-23;Puissance moyenne journalière de la production profilée totale (W);189889819.0
2023-03-23;Puissance moyenne journalière de la production cogénération profilée (W);353232.0
2023-03-29;Puissance moyenne journalière de la consommation profilée HTA (W);6324545.0
2023-03-29;Puissance moyenne journalière de la consommation profilée BT SUP 36 (W);26749749.0
2023-03-29;Puissance moyenne journalière de la production cogénération profilée (W);87101.0
2023-03-29;Puissance moyenne journalière de la production hydraulique profilée (W);1503422.0
2023-03-29;Puissance moyenne journalière de la production autres profilée (W);1615682.0
2023-03-31;Puissance moyenne journalière de la consommation totale HTA (W);12323004989.0
2023-04-05;Puissance moyenne journalière de la consommation télérelevée BT INF 36 Professionelle (W);3323779.0
2023-04-05;Puissance moyenne journalière de la production télérelevée totale (W);5777213469.0
2023-04-20;Puissance moyenne journalière de la consommation totale (W);35895522351.0
2023-04-20;Puissance moyenne journalière de la consommation télérelevée HTA (W);12650433034.0
2023-04-23;Puissance moyenne journalière de la consommation profilée BT INF 36 Résidentielle (W);15111611339.0
2023-04-23;Puissance moyenne journalière de la production cogénération profilée (W);47907.0
2023-05-03;Puissance moyenne journalière de la consommation profilée BT INF 36 Résidentielle (W);11667161239.0
2023-05-15;Puissance moyenne journalière de la production autres profilée (W);1506244.0
2023-06-15;Puissance moyenne journalière de la production cogénération profilée (W);14404.0
2023-07-31;Puissance moyenne journalière de la consommation profilée BT INF 36 Résidentielle (W);10634960445.0
2023-07-31;Puissance moyenne journalière de la production cogénération totale (W);44543386.0
2023-07-31;Puissance moyenne journalière de la production cogénération profilée (W);21111.0
2023-08-02;Puissance moyenne journalière de la consommation télérelevée BT INF 36 Professionelle (W);2257550.0
2023-08-02;Puissance moyenne journalière de la consommation profilée BT INF 36 Résidentielle (W);10622326001.0
2023-08-02;Puissance moyenne journalière de la production télérelevée totale (W);15183248327.0
2023-08-02;Puissance moyenne journalière de la production profilée totale (W);353814402.0
2023-08-17;Puissance moyenne journalière de la consommation profilée HTA (W);4215769.0
2023-08-18;Puissance moyenne journalière de la consommation profilée BT SUP 36 (W);14436939.0
2023-08-18;Puissance moyenne journalière de la production autres profilée (W);1252134.0
2023-08-20;Puissance moyenne journalière de la consommation télérelevée HTA (W);8767555181.0
